blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
0,-7699,-81,-7,-1.4,-8,0,0,-2
0,-7646,-42,-41,-1.4,-12,-1,-2,-2
0,-2910,-17,-6,-0.8,-6,1,0,0
0,-755,-7,8,0.2,-4,-1,-1,0
0,-2584,-58,-20,0,-1,0,-1,1
1,2097,84,-44,0.6,6,-1,0,0
1,5573,57,-12,0.2,6,1,1,2
0,-5488,-33,3,-1,-10,-1,-2,0
0,1317,-30,2,-0.4,2,1,1,1
0,-1152,8,32,-0.4,-4,1,1,0
1,8698,18,6,1.8,21,0,2,2
0,1538,-15,-23,0,3,1,0,0
1,12304,96,15,2,19,0,1,6
1,2896,41,-14,0.2,5,-1,0,0
0,-5134,-38,-10,-0.6,-6,1,1,-1
1,1805,-52,24,0.4,2,1,-1,2
1,4171,59,-5,0.4,6,1,0,1
0,-12,-31,-9,0,5,-1,0,-1
1,5745,103,-18,0.8,8,1,-1,2
1,-107,-62,7,0,2,1,1,0
1,-688,-33,8,-0.4,-3,1,1,1
0,-952,-8,25,0,-6,1,0,0
1,2156,18,-4,0.4,6,-1,-2,-1
0,815,-58,3,-0.2,3,1,0,1
0,2893,-4,-1,0.2,4,1,-2,1
1,3263,43,1,0.4,3,1,1,1
0,-1818,-4,-13,-0.6,-4,0,-2,0
0,-452,-25,45,-0.2,-5,1,0,1
1,2868,29,13,0.6,4,1,1,0
1,2021,41,3,0.2,2,0,1,-1
1,1889,15,-12,-0.2,4,0,0,0
1,11070,119,19,1.6,10,1,2,4
0,3626,70,4,0.4,-1,0,0,2
0,-600,0,-43,0,0,1,-1,-1
1,-651,0,7,-0.4,-4,1,1,1
0,-3509,-3,-7,-0.2,-6,0,-2,-1
1,4565,31,7,0.8,6,1,0,1
1,4619,49,5,0.4,6,0,1,1
1,4417,15,18,0.6,3,1,-1,1
1,-1325,-2,-7,-0.2,-3,-1,1,-1
0,-5517,-69,-5,-1,-5,-1,-1,-1
1,3533,-53,-23,-0.2,10,1,-1,0
0,-7338,-25,-35,-1,-12,-1,-2,-3
1,5098,37,-3,0.8,13,-1,2,0
1,5379,69,4,0.8,6,1,0,2
1,7685,11,-27,0.6,16,1,2,1
1,-4441,-35,-14,-1.2,-5,1,0,-1
1,1373,31,7,0.4,3,1,2,1
1,1147,12,-12,0,8,0,1,-1
1,3343,13,3,0.2,4,1,1,2
1,1520,-17,33,0.2,5,0,2,0
0,-3849,-35,-21,-0.4,-4,0,-1,-1
0,-4952,-39,23,-0.6,-9,1,1,-1
1,3794,38,36,0.4,1,-1,0,2
1,339,3,5,0.2,-3,0,-1,0
1,6609,36,22,0.6,8,1,1,2
1,1802,37,-17,0.6,3,-1,-2,0
1,4508,91,-4,1,4,1,0,1
1,6901,30,2,1.2,11,1,-1,1
0,-3892,2,-20,-0.8,-4,-1,0,-2
1,6295,16,15,0.6,9,1,-1,1
1,4974,27,8,0.4,10,0,1,1
0,-9408,-70,-8,-1.4,-16,-1,-1,-4
0,-1878,-20,-11,0,-1,0,-1,-1
0,-2188,25,8,-0.4,-6,1,0,1
0,-1165,-8,9,0.2,-4,-1,2,0
1,9529,69,7,1.4,16,0,1,2
1,4532,77,-1,1,7,-1,0,1
1,-1126,18,-1,-0.2,-5,1,-1,1
1,1000,48,19,-0.4,-4,1,2,1
1,790,33,-13,0.6,3,-1,0,0
1,3889,19,-25,0.6,7,1,-1,1
1,-2379,15,-39,-0.2,-1,0,-1,-1
1,4666,-14,-2,0.8,11,1,2,1
0,-6193,-50,-39,-0.4,-3,0,-2,-2
1,3822,-4,-10,0,3,1,2,3
0,-5306,-56,4,-0.8,-11,-1,-2,-1
1,694,-31,-18,-0.2,2,0,-1,0
1,7544,45,97,2,6,1,2,3
0,-3875,-66,3,-0.4,-3,1,-2,-1
1,-1822,-10,-25,-1,0,1,-1,0
1,118,-12,-9,-0.2,-4,1,1,1
1,9126,-4,55,1.6,17,1,2,2
0,-2481,-19,-14,-0.6,-3,0,0,0
1,1582,-36,4,0.2,3,1,2,1
1,14116,47,33,1.4,18,0,0,4
0,-2091,-16,33,-0.4,-5,-1,2,-1
0,-5822,-14,-24,-0.4,-8,-1,-1,-1
0,-2156,29,16,-0.6,-8,1,-1,1
1,4387,66,23,0.4,3,1,1,2
